id,id_farmacia,id_cliente,fecha,id_producto,cantidad
1,17,2294,2026-01-15,194,5
1,17,2294,2026-01-15,82,5
1,17,2294,2026-01-15,395,1
1,17,2294,2026-01-15,276,4
2,11,2314,2026-01-18,56,2
3,21,1438,2026-01-13,279,4
4,24,1303,2026-01-13,188,3
4,24,1303,2026-01-13,204,3
4,24,1303,2026-01-13,122,1
5,21,2570,2026-01-19,107,2
5,21,2570,2026-01-19,110,3
5,21,2570,2026-01-19,348,4
6,17,2550,2026-01-17,230,4
7,29,382,2026-01-17,133,2
7,29,382,2026-01-17,32,4
7,29,382,2026-01-17,351,5
8,9,571,2026-01-13,377,4
9,9,727,2026-01-14,128,5
9,9,727,2026-01-14,387,3
9,9,727,2026-01-14,269,1
9,9,727,2026-01-14,62,5
9,9,727,2026-01-14,82,5
10,7,549,2026-01-17,11,2
10,7,549,2026-01-17,195,3
10,7,549,2026-01-17,164,2
10,7,549,2026-01-17,87,3
11,11,1334,2026-01-15,342,1
11,11,1334,2026-01-15,357,5
11,11,1334,2026-01-15,8,3
11,11,1334,2026-01-15,119,1
12,8,5,2026-01-19,106,4
12,8,5,2026-01-19,47,1
12,8,5,2026-01-19,360,2
12,8,5,2026-01-19,338,4
12,8,5,2026-01-19,358,5
13,10,2503,2026-01-15,222,2
13,10,2503,2026-01-15,324,2
14,6,1415,2026-01-18,281,3
14,6,1415,2026-01-18,345,4
14,6,1415,2026-01-18,386,4
14,6,1415,2026-01-18,68,2
14,6,1415,2026-01-18,301,3
15,19,1977,2026-01-13,21,3
16,24,1479,2026-01-16,284,4
16,24,1479,2026-01-16,41,1
16,24,1479,2026-01-16,329,2
16,24,1479,2026-01-16,293,1
17,25,1826,2026-01-15,114,2
18,28,974,2026-01-20,201,4
18,28,974,2026-01-20,276,1
19,5,407,2026-01-17,40,4
19,5,407,2026-01-17,85,4
20,27,2193,2026-01-19,226,4
20,27,2193,2026-01-19,252,5
21,26,99,2026-01-16,148,2
21,26,99,2026-01-16,387,5
21,26,99,2026-01-16,193,2
21,26,99,2026-01-16,298,1
22,4,576,2026-01-10,96,3
22,4,576,2026-01-10,350,2
22,4,576,2026-01-10,56,2
23,8,1622,2026-01-15,2,3
23,8,1622,2026-01-15,48,1
23,8,1622,2026-01-15,395,1
23,8,1622,2026-01-15,96,1
24,26,21,2026-01-16,98,3
24,26,21,2026-01-16,192,3
25,14,1458,2026-01-16,146,2
25,14,1458,2026-01-16,224,4
25,14,1458,2026-01-16,60,2
26,15,2849,2026-01-15,228,3
27,4,924,2026-01-13,266,5
27,4,924,2026-01-13,130,3
